tus,t_to_tF,M,Merr
0,0,-0.989384846572076,0.00906304521524032
6,0.222047768755727,-0.819400675901436,0.00249266423635419
14,0.518111460430029,-0.192991094168436,0.0230411496540029
22,0.814175152104331,0.423188623344258,0.0168922041738477
30,1.11023884377863,0.756415984429587,0.00333125353784339
38,1.40630253545294,0.640175026720465,0.0107855844149554
46,1.70236622712724,0.381798571674681,0.0236996633426757
54,1.99842991880154,0.282311179519249,0.0284262598469966
62,2.29449361047584,0.329623048613525,0.0171858555927121
70,2.59055730215014,0.384465992237264,0.00972098258826181
78,2.88662099382445,0.308982815791502,0.0113752543179993
86,3.18268468549875,0.246642090359853,0.00416711312500681
94,3.47874837717305,0.217471496149743,0.00997953077263298
102,3.77481206884735,0.352762932697776,0.00177658948918227
110,4.07087576052165,0.527768430645666,0.00577130103648066
118,4.36693945219596,0.649857796115474,0.00635483134012472
126,4.66300314387026,0.562359712244236,0.0147827269706586
134,4.95906683554456,0.470854644154913,0.0213632442938766
142,5.25513052721886,0.382481351428396,0.0163300322544815
150,5.55119421889316,0.450837325300305,0.0159893924988305
158,5.84725791056747,0.502490685522106,0.0156619302893829
166,6.14332160224177,0.578552330781668,0.00770649784202873
174,6.43938529391607,0.553101384210267,0.00705173931117026
182,6.73544898559037,0.538406365598108,0.00449844384300141
190,7.03151267726467,0.55103293965244,0.0112118530036762
198,7.32757636893898,0.58399228794956,0.0163411162121074
206,7.62364006061328,0.589556791771462,0.0128300601079178
214,7.91970375228758,0.623662318723538,0.0134763057470911
222,8.21576744396188,0.573554617466658,0.018815301662785
230,8.51183113563619,0.560552698116911,0.0150965985741878
238,8.80789482731049,0.569641557849504,0.0130878630187496
246,9.10395851898479,0.588552688841315,0.0168214578607159
