tus,t_to_tF,M,Merr
0,0,-1.00743103565109,0.00776145064387008
18,0.625428265476656,-0.885254855081886,0.0098527492337444
38,1.32034856045072,-0.605200877587899,0.00881854898015194
58,2.01526885542478,-0.360361310186127,0.0180695043536657
78,2.71018915039884,-0.0836528699917207,0.0169189026644774
98,3.40510944537291,0.234773121137357,0.0569960954064322
118,4.10002974034697,0.465457183957468,0.0333136993688731
138,4.79495003532103,0.56896369878193,0.0112664775219956
158,5.48987033029509,0.620363160444242,0.010954154885929
178,6.18479062526915,0.651206211369567,0.0333312478557487
198,6.87971092024322,0.611483032749481,0.0117113317632468
218,7.57463121521728,0.545377796297831,0.00740212537679797
238,8.26955151019134,0.528868086991296,0.013254646610879
258,8.9644718051654,0.476295786292027,0.0223829554626628
278,9.65939210013947,0.465399304460901,0.0411938987033606
298,10.3543123951135,0.504323729978856,0.0174134498972657
318,11.0492326900876,0.569535045386568,0.0125120900994659
338,11.7441529850617,0.592981099248004,0.00904419063019485
358,12.4390732800357,0.631901914094977,0.0273325339862209
378,13.1339935750098,0.697944279684935,0.0201537790369246
398,13.8289138699838,0.71131652595527,0.023137992656442
418,14.5238341649579,0.747551893075634,0.0313308187978248
438,15.218754459932,0.749744425663382,0.017299645881574
458,15.913674754906,0.7397017319963,0.00322377524299944
478,16.6085950498801,0.759006694515811,0.0208744181996826
498,17.3035153448541,0.749718325454363,0.0066709512348997
518,17.9984356398282,0.761442444206318,0.0138756600767924
538,18.6933559348023,0.782672174852249,0.0168380954059866
558,19.3882762297763,0.7818797672631,0.0198746084720324
578,20.0831965247504,0.784987621817442,0.00704884555355322
598,20.7781168197245,0.801211161041877,0.0246331466918644
618,21.4730371146985,0.815355830750347,0.026772809301363
