tus,t_to_tF,M,Merr
0,0,-1.00062036700863,0.0127156512707137
18,0.635607025674287,-0.892252809632829,0.00251014544115068
38,1.34183705420127,-0.626529215605047,0.0127451368353234
58,2.04806708272826,-0.391629961145389,0.0235949881054814
78,2.75429711125524,-0.156673234132214,0.0205562166076963
98,3.46052713978223,0.0957811419514474,0.0207606186547211
118,4.16675716830921,0.332363362320439,0.0156315931701238
138,4.8729871968362,0.453647363415753,0.0227039848021364
158,5.57921722536319,0.496267120670643,0.0360323924485326
178,6.28544725389017,0.502373043091876,0.0302735953518157
198,6.99167728241716,0.435783648787997,0.0252864224428516
218,7.69790731094414,0.290284405790537,0.0253243895590838
238,8.40413733947113,0.0783659555115848,0.0130906729663202
258,9.11036736799811,0.0397588945108016,0.0311460264535194
278,9.8165973965251,-0.147971273525208,0.017926178161762
298,10.5228274250521,-0.298770930328123,0.0211414189420953
318,11.2290574535791,-0.294025301816014,0.014316306595782
338,11.9352874821061,-0.328519597983543,0.00882196665958439
358,12.641517510633,-0.28324396846959,0.0269891589866638
378,13.34774753916,-0.219652444847439,0.0275098829168704
398,14.053977567687,-0.147472690273452,0.0242204745294622
418,14.760207596214,-0.0561976564898403,0.0276086403574934
438,15.466437624741,0.0394743655911181,0.0220221537840192
458,16.172667653268,0.120122524406032,0.0254582729827458
478,16.878897681795,0.13501294431039,0.0175074819543553
498,17.5851277103219,0.151133467985684,0.0281781746304033
518,18.2913577388489,0.139833460417721,0.00705844299152395
538,18.9975877673759,0.0183438139053697,0.0694499360675142
558,19.7038177959029,0.0162617697134062,0.0693261176952486
578,20.4100478244299,0.00585542872439038,0.0268560904356238
598,21.1162778529569,-0.0557531482868489,0.0223133465541713
618,21.8225078814839,-0.0897360539770784,0.0348592314531971
