tus,t_to_tF,M,Merr
0,0,-0.987150155725466,0.00617131670064645
6,0.208853079610649,-0.352902313770269,0.0289681179158687
14,0.487323852424849,0.97117862064094,0.00798374685119217
22,0.765794625239048,0.272903377016752,0.012955577109333
30,1.04426539805325,-0.297754916549477,0.0161197043104656
38,1.32273617086745,0.30962526184318,0.0183287202522412
46,1.60120694368165,0.533101639941574,0.030657169101453
54,1.87967771649585,0.4099239554823,0.0513795187516652
62,2.15814848931004,0.260702665700603,0.044938525884876
70,2.43661926212424,0.0304850455415056,0.035245650055176
78,2.71509003493844,0.294149262517139,0.0344924225169425
86,2.99356080775264,0.610732081537885,0.0221257587228683
94,3.27203158056684,0.226694477132467,0.0164976179978984
102,3.55050235338104,0.0440681889186187,0.0302841957600365
110,3.82897312619524,0.497833364664381,0.0315734028885499
118,4.10744389900944,0.525011303445915,0.0133016158795532
126,4.38591467182364,0.21428670160021,0.0655947235354236
134,4.66438544463784,0.306388932803258,0.0295898732705106
142,4.94285621745204,0.448645326099604,0.0130419910773333
150,5.22132699026624,0.408002500260611,0.0131834976447307
158,5.49979776308044,0.37793556993102,0.0383255344425481
166,5.77826853589464,0.426396455931116,0.0451058256758512
174,6.05673930870883,0.314491623953741,0.0209294142328519
182,6.33521008152303,0.490972199591279,0.00550460137581177
190,6.61368085433723,0.499245806423432,0.0183651841024588
198,6.89215162715143,0.343106025296666,0.00605504832156204
206,7.17062239996563,0.389867404588265,0.0284601533543915
214,7.44909317277983,0.514731938539545,0.00653223008473447
222,7.72756394559403,0.469505121338432,0.0127126567997714
230,8.00603471840823,0.43369892824704,0.0299878473515426
238,8.28450549122243,0.457790040700752,0.0150682875197466
246,8.56297626403663,0.530489417684026,0.0223315265870219
