tus,t_to_tF,M,Merr
0,0,-1.00701474546304,0.00398434650815753
6,0.208853079610649,-0.746250923100783,0.00378914247787398
14,0.487323852424849,0.0925049938975364,0.00807348941404135
22,0.765794625239048,0.739381116254698,0.0150936211727746
30,1.04426539805325,0.815765161510185,0.00900626033072872
38,1.32273617086745,0.511897245461119,0.0220240378504282
46,1.60120694368165,-0.0381551494530822,0.0293221600832664
54,1.87967771649585,-0.35818851583158,0.0133556856877003
62,2.15814848931004,-0.354185387795285,0.0151176843974436
70,2.43661926212424,0.0176167305537231,0.00481652013672777
78,2.71509003493844,0.51832123055872,0.0300292981085882
86,2.99356080775264,0.787721253513801,0.00722181113248216
94,3.27203158056684,0.520282959096292,0.0191796847230171
102,3.55050235338104,0.086122933750664,0.019571180767492
110,3.82897312619524,-0.218602738458187,0.00580855105651068
118,4.10744389900944,-0.165433417590822,0.0183802579602605
126,4.38591467182364,0.164973396957416,0.0261408813175966
134,4.66438544463784,0.474751268238536,0.0215797612797799
142,4.94285621745204,0.648112176874144,0.0166419393190012
150,5.22132699026624,0.558917588980416,0.0169472908727045
158,5.49979776308044,0.237406342196403,0.0257455284667349
166,5.77826853589464,-0.0764700901248551,0.0151624919028429
174,6.05673930870883,-0.0790119567917468,0.0124656451597131
182,6.33521008152303,0.141541718296318,0.00298233767969985
190,6.61368085433723,0.464303702718172,0.0241682472491574
198,6.89215162715143,0.639539353848386,0.0160899677961912
206,7.17062239996563,0.514606584423078,0.0140539162649279
214,7.44909317277983,0.298727016454181,0.0262630880607417
222,7.72756394559403,0.136529512677206,0.0342364088332084
230,8.00603471840823,0.0899465249620338,0.0170979089369553
238,8.28450549122243,0.255164045732422,0.00582120396381704
246,8.56297626403663,0.445091675425413,0.0201525451995295
