tus,t_to_tF,M,Merr
0,0,-0.964161285526309,0.00772782115400145
6,0.225063697703173,-0.128916296054221,0
10,0.375106162838621,0.705933301329017,0.00256350242417214
14,0.52514862797407,0.888427252302554,0
18,0.675191093109518,0.434415169377175,0
22,0.825233558244967,-0.234409025133818,0
26,0.975276023380415,-0.413610831251639,0
30,1.12531848851586,-0.12978033749287,0
34,1.27536095365131,0.416623971471748,0.0174415071855251
38,1.42540341878676,0.672710800836675,0
42,1.57544588392221,0.524402237839548,0.00349695044449572
46,1.72548834905766,0.305026218186469,0
50,1.87553081419311,0.0577738130412778,0.100232954778829
54,2.02557327932856,0.232718695164399,0
58,2.175615744464,0.298807826304262,0
62,2.32565820959945,0.246039013291157,0
66,2.4757006747349,0.255637154282413,0
70,2.62574313987035,0.228699296725155,0
74,2.7757856050058,0.358128617239146,0.00270398648328166
78,2.92582807014125,0.451929904285836,0
82,3.07587053527669,0.343871930227221,0
86,3.22591300041214,0.221638313242772,0
90,3.37595546554759,0.00302114803625378,0
94,3.52599793068304,0.109337457538181,0
98,3.67604039581849,0.296427537330925,0
102,3.82608286095394,0.558800431269717,0
106,3.97612532608939,0.514513002096588,0.00880648430824554
110,4.12616779122483,0.3086738327465,0.014795428957935
114,4.27621025636028,0.128210405610032,0
118,4.42625272149573,0.0433900242961269,0
122,4.57629518663118,0.249543177129384,0
126,4.72633765176663,0.484727416978352,0
130,4.87638011690208,0.519882099287683,0
134,5.02642258203753,0.340513738723228,0
138,5.17646504717297,0.227549169025328,0
142,5.32650751230842,0.181678122777909,0
146,5.47654997744387,0.323265398295038,0
150,5.62659244257932,0.472833117723157,0
154,5.77663490771477,0.417547295551294,0
158,5.92667737285022,0.39415834915192,0
