tus,t_to_tF,M,Merr
0,0,-1.00961341824194,0.0130674178116487
6,0.225063697703173,-0.915244696291826,0.0188676230670753
14,0.52514862797407,-0.366347093865908,0.0264727956797308
22,0.825233558244967,0.22357736387552,0.00341065495522797
30,1.12531848851586,0.657934948983204,0.0161478591224569
38,1.42540341878676,0.899748995198988,0.0176026807321902
46,1.72548834905766,0.819556681787477,0.0116268512976508
54,2.02557327932856,0.573331978487387,0.0149872894068625
62,2.32565820959945,0.128939958965107,0.0126086296037725
70,2.62574313987035,-0.29054373964005,0.0298510517637513
78,2.92582807014125,-0.538838551677429,0.0161833001042364
86,3.22591300041214,-0.478982663218613,0.0101335630525589
94,3.52599793068304,-0.219095292373535,0.0106864791283904
102,3.82608286095394,0.226378557895975,0.0245209378885676
110,4.12616779122483,0.502661110981352,0.034222474111503
118,4.42625272149573,0.696509630589024,0.0110951405700162
126,4.72633765176663,0.707648657862043,0.0236450862993486
134,5.02642258203753,0.535652557068565,0.00712458518729609
142,5.32650751230842,0.192434965008132,0.0153462562947748
150,5.62659244257932,-0.0480780920855278,0.0272911967332504
158,5.92667737285022,-0.235524505223324,0.0270028978394782
166,6.22676230312111,-0.201932619792204,0.017217028226375
174,6.52684723339201,-0.0330776938774394,0.0151338397380957
182,6.82693216366291,0.238743487915397,0.00879693940737745
190,7.1270170939338,0.490161132444666,0.0157568021886311
198,7.4271020242047,0.634676808619881,0.0118421399969542
206,7.7271869544756,0.658834011819875,0.0366735687368559
214,8.0272718847465,0.44437768978833,0.0398641728225994
222,8.32735681501739,0.29442988776556,0.0153780036907519
230,8.62744174528829,0.0975798925482811,0.020735129965563
238,8.92752667555919,-0.0366324225759542,0.0055795950224378
246,9.22761160583008,-0.0462800810300983,0.00998803094236889
