tus,t_to_tF,M,Merr
0,0,-1.0043286526568,0.0293134128513691
6,0.230341573361204,-0.426768424706189,0.0143480137285255
14,0.537463671176142,0.84409251656032,0.0205054087057695
22,0.84458576899108,0.546280649330768,0.00249686554698386
30,1.15170786680602,-0.169896658711431,0.00863927021062494
38,1.45882996462096,-0.0536489002314521,0.00874032831838649
46,1.76595206243589,0.407652447244698,0.0167691618468039
54,2.07307416025083,0.56977578588429,0.0187567238171437
62,2.38019625806577,0.434320308027836,0.0135119859085983
70,2.68731835588071,0.0753440438609183,0.02388489383914
78,2.99444045369565,0.0120060911759402,0.00547014346352189
86,3.30156255151059,0.471026917923827,0.0187792598117485
94,3.60868464932552,0.634100401630833,0.0140216064703086
102,3.91580674714046,0.208874992845126,0.0221055653316691
110,4.2229288449554,-0.0550743145510761,0.0432996428018173
118,4.53005094277034,0.397223145266244,0.00918446723915975
126,4.83717304058528,0.589585374833672,0.0392895984122035
134,5.14429513840021,0.345060126285151,0.0370829468236355
142,5.45141723621515,0.193855430529723,0.00736919744537182
150,5.75853933403009,0.35293285078898,0.037516464837429
158,6.06566143184503,0.458426049615774,0.00970569419370987
166,6.37278352965997,0.506835557823341,0.0465536720612552
174,6.6799056274749,0.412307300240529,0.0199305246773075
182,6.98702772528984,0.292052529487333,0.0359311992400436
190,7.29414982310478,0.336394396076839,0.000862294053971507
198,7.60127192091972,0.500841105080892,0.0427742962678141
206,7.90839401873466,0.465895666487784,0.0038988894804359
214,8.2155161165496,0.320005990571803,0.00946861772792815
222,8.52263821436453,0.396555272862147,0.000147200282994558
230,8.82976031217947,0.505677216974404,0.0490736602185787
238,9.13688240999441,0.477580228568734,0.0141823593970073
246,9.44400450780935,0.419657365300894,0.014556930105339
