tus,t_to_tF,M,Merr
0,0,-0.988696448484296,0.0387313851732171
10,0.353743332794211,-0.850795276532631,0.0217623405269096
22,0.778235332147264,-0.321518980032547,0.00652184672593535
34,1.20272733150032,0.107057370090969,0.0225685913619234
46,1.62721933085337,0.343310194003593,0.0259723932650275
58,2.05171133020642,0.249582416308571,0.01760342231142
70,2.47620332955948,0.0886747754062827,0.0304810166677984
82,2.90069532891253,0.10585070526888,0.0236759974426412
94,3.32518732826558,0.235276540809123,0.0315793239293564
106,3.74967932761863,0.474490077090073,0.01560983008874
118,4.17417132697169,0.6497065312609,0.0161653140071878
130,4.59866332632474,0.659845737554156,0.00416334243481505
142,5.02315532567779,0.605782221442734,0.0169722786113462
154,5.44764732503084,0.507363777024863,0.0352112935571042
166,5.8721393243839,0.538871249137926,0.0219599143889031
178,6.29663132373695,0.613679610318988,0.0364219309580949
190,6.72112332309,0.682174923456918,0.0023997044293866
202,7.14561532244306,0.716475297195128,0.0178210691966925
214,7.57010732179611,0.710379320442722,0.0022945265528729
226,7.99459932114916,0.661298049177616,0.0168723700585617
238,8.41909132050221,0.641562638144947,0.00470872614475976
250,8.84358331985527,0.643074778652952,0.0228451880234826
262,9.26807531920832,0.68673893834461,0.00935485681060314
274,9.69256731856137,0.712710544597517,0.0142255792295073
286,10.1170593179144,0.734796789667247,0.0178807505866756
298,10.5415513172675,0.718182761209914,0.00351917589778078
310,10.9660433166205,0.694549823090858,0.0171119285204728
322,11.3905353159736,0.724308218427179,0.0147559525018954
334,11.8150273153266,0.703066672441331,0.0134172382636641
346,12.2395193146797,0.712585952841658,0.00609032072863889
358,12.6640113140327,0.753194970945314,0.0138603560992284
370,13.0885033133858,0.721747836735664,0.00826513655855802
382,13.5129953127389,0.744601695467158,0.00736699316470419
394,13.9374873120919,0.723170235619544,0.015343473645552
