tus,t_to_tF,M,Merr
0,0,-1.00266345021123,0.0150501084096224
6,0.208099097373788,-0.559118586893443,0.0208016025476135
14,0.485564560538838,0.614122827288225,0.0068969179707046
22,0.763030023703889,0.781087798116469,0.0267090441828775
30,1.04049548686894,-0.139622158166434,0.0367810999273876
38,1.31796095003399,-0.441186689785819,0.0163676487815457
46,1.59542641319904,0.194001439598348,0.00153292015459332
54,1.87289187636409,0.692561267743058,0.00603093621904252
62,2.15035733952914,0.35049428471923,0.0406084427018839
70,2.42782280269419,-0.233732855295353,0.0299231586810947
78,2.70528826585924,0.00772010600133286,0.0179302707959197
86,2.98275372902429,0.573975596267539,0.00453584456950124
94,3.26021919218934,0.532116072340876,0.00656159917280273
102,3.53768465535439,0.0805759390028476,0.0270177669388826
110,3.81515011851944,-0.0450914019657886,0.015980169422356
118,4.09261558168449,0.375179950569632,0.0206178537975823
126,4.37008104484955,0.546261054480167,0.0152811444657216
134,4.6475465080146,0.318009658524495,0.01030349312538
142,4.92501197117965,0.0505842711225014,0.02518896864507
150,5.2024774343447,0.157433881946284,0.0616878618203804
158,5.47994289750975,0.459228418384293,0.0142426529776973
166,5.7574083606748,0.442225998637046,0.00682553576731262
174,6.03487382383985,0.171100380440366,0.0137663134814196
182,6.3123392870049,0.162095286626129,0.0047805862770105
190,6.58980475016995,0.349504385451856,0.00766875732221654
198,6.867270213335,0.447762633530705,0.0140345984018274
206,7.14473567650005,0.308778300550591,0.014820868446805
214,7.4222011396651,0.20564866237447,0
222,7.69966660283015,0.289145298635528,0.0204927421421233
230,7.9771320659952,0.397913947191186,0.0135108671873545
238,8.25459752916025,0.377262570897659,0.0309508538541568
246,8.5320629923253,0.232713985555951,0.0361784814158246
