tus,t_to_tF,M,Merr
0,0,-1.0281837053141,0.0112845246195743
6,0.205083168426342,-0.69718573236778,0.0140212302880872
14,0.478527392994797,0.174165186054217,0.00607232043222136
22,0.751971617563253,0.792106397504201,0.0114053673945059
30,1.02541584213171,0.575868918583119,0.00288761918483823
38,1.29886006670016,-0.0802909168055706,0.0349272077727968
46,1.57230429126862,-0.412955796829404,0.0255906159266813
54,1.84574851583708,0.0228005710803312,0.0272255047917686
62,2.11919274040553,0.560608649264795,0.0190178594256022
70,2.39263696497399,0.630384235883929,0.0144869023106592
78,2.66608118954244,0.25101590244814,0.01758557417991
86,2.9395254141109,-0.0658163895067712,0.0197498556528006
94,3.21296963867935,0.0121559493636646,0.017352076377124
102,3.48641386324781,0.391594103965234,0.0115921550354526
110,3.75985808781626,0.588966735900511,0.0365823910327769
118,4.03330231238472,0.474498943049685,0.0324728282310342
126,4.30674653695318,0.203303350747187,0.0292394617872426
134,4.58019076152163,0.0372961023333069,0.0710227927369503
142,4.85363498609009,0.257907187999301,0.00672038381470539
150,5.12707921065854,0.574626284905722,0.0135465293966894
158,5.400523435227,0.525009388787769,0.0169023402959292
166,5.67396765979545,0.340361512138908,0.0442492272547064
174,5.94741188436391,0.165504656629717,0.0214088420634247
182,6.22085610893237,0.151259253965053,0.0920491909482868
190,6.49430033350082,0.434565235737551,0.0176929487903889
198,6.76774455806928,0.501913260705419,0.0290396677551709
206,7.04118878263773,0.489748572892578,0.0219131689101031
214,7.31463300720619,0.302536411117443,0.0447767502732193
222,7.58807723177464,0.318168948087565,0.0168871796102696
230,7.8615214563431,0.383385373986802,0.0145677276195136
238,8.13496568091155,0.527056117376434,0.0332853412184698
246,8.40840990548001,0.503488162707963,0.0180429897289186
