tus,t_to_tF,M,Merr
0,0,-0.998381402686936,0.0157090954737046
6,0.21413095526868,-0.559470981555647,0.00781049907736197
14,0.499638895626921,0.653131257484386,0.00794299689976851
22,0.785146835985161,0.873171798000988,0.00768271548560217
30,1.0706547763434,-0.0153815526873796,0.0177307598339321
38,1.35616271670164,-0.601171833178325,0.0395114922023362
46,1.64167065705988,-0.138070141497803,0.0154255695722733
54,1.92717859741812,0.471919149576663,0.0125871820126636
62,2.21268653777636,0.285654019221065,0.0223554870676576
70,2.4981944781346,-0.088072755119264,0.100611350720997
78,2.78370241849284,-0.277798454203899,0.0146093509793919
86,3.06921035885108,0.0510800102486044,0.0158896608411028
94,3.35471829920932,0.250369127162979,0.00962834370373727
102,3.64022623956756,0.0283781531336502,0.0141066515187229
110,3.92573417992581,-0.148567603213787,0.0497058693015336
118,4.21124212028405,-0.0706552199800081,0.0171855981468603
126,4.49675006064229,0.125020233277165,0.0280814010594884
134,4.78225800100053,0.0773736883645092,0.0289129404498775
142,5.06776594135877,-0.0871580198417397,0.0132917468354519
150,5.35327388171701,-0.0450457139244401,0.0091230489659261
158,5.63878182207525,-0.00206397440993411,0.00496909037376605
166,5.92428976243349,0.073047217709351,0.00645678205914635
174,6.20979770279173,0.0165122368345008,0.00738777668530569
182,6.49530564314997,-0.0376900442953485,0.0061695314138901
190,6.78081358350821,-0.0426890048108006,0.00582148121496529
198,7.06632152386645,-0.0109827661764292,0.00409669810027805
206,7.35182946422469,0.0383458911375772,0.0155609186833078
214,7.63733740458293,-0.0484139610078822,0.0210924400656042
222,7.92284534494117,-0.0696039760196716,0.0107377139444059
230,8.20835328529941,0.0139672402984981,0.0117878408911356
238,8.49386122565765,0.0135746759920302,0.0188165685792081
246,8.77936916601589,-0.0306884532629105,0.0160761379480099
