tus,t_to_tF,M,Merr
0,0,-1.00856346213212,0
10,0.342433599241287,-0.91318308984741,0.00215045839670164
22,0.753353918330832,-0.643869439197963,0.0520178125637279
34,1.16427423742038,-0.27914400796642,0.0140446813453349
46,1.57519455650992,-0.0100488153981371,0.0137618665748175
58,1.98611487559947,0.291733744824495,0.0111838786470453
70,2.39703519468901,0.534635130978368,0.00306517544650747
82,2.80795551377856,0.659901799797921,0.0207310668312
94,3.2188758328681,0.667648722589696,0.00268146113120676
106,3.62979615195765,0.581228462971493,0.00684080429910527
118,4.04071647104719,0.399605963446453,0.0115115338850194
130,4.45163679013674,0.226367553397074,0.0148054377759175
142,4.86255710922628,0.0356249787646416,0.0214003004828599
154,5.27347742831583,-0.188017769019155,0.00870333946410974
166,5.68439774740537,-0.336421915589153,0.00796511942514477
178,6.09531806649492,-0.449998653794631,0.0167802134671863
190,6.50623838558446,-0.457808044343384,0.00264671299851285
202,6.91715870467401,-0.380404976734018,0.0349643959825591
214,7.32807902376355,-0.27433365259159,0.023133382380005
226,7.7389993428531,-0.166044574298223,0.0409237887350355
238,8.14991966194264,-0.0231895215560501,0.034928073109179
250,8.56083998103219,0.119805261944735,0.0140242197108338
262,8.97176030012173,0.260302005553285,0.0461033422904657
274,9.38268061921128,0.330040611617187,0.0200403636566624
286,9.79360093830082,0.372909197874286,0.0177000285607414
298,10.2045212573904,0.272813448603857,0.0180111100737898
310,10.6154415764799,0.273543324448011,0.0091283168305864
322,11.0263618955695,0.125986367224881,0.0161231428615747
334,11.437282214659,0.0485741939678465,0.0148155390523328
346,11.8482025337485,-0.0886438551981849,0.00531934767859157
358,12.2591228528381,-0.21544983381507,0.00476755227318011
370,12.6700431719276,-0.193403783474693,0.016540245710938
382,13.0809634910172,-0.258506943549419,0.0075550831807385
394,13.4918838101067,-0.198775994046596,0.0360246610598591
406,13.9028041291963,-0.163132046481111,0.033003969635003
418,14.3137244482858,-0.11786120300944,0
430,14.7246447673754,-0.0422535825525174,0.0157451427502232
442,15.1355650864649,0.0895030890379772,0.073795885476666
454,15.5464854055545,0.0913533875002378,0.0332047187185999
466,15.957405724644,0.125380254292037,0.00109960693338276
478,16.3683260437335,0.150968278890184,0.0174234075374905
490,16.7792463628231,0.127225845442632,0.066334729949374
502,17.1901666819126,0.108387835839783,0
514,17.6010870010022,0.0909406413069076,0
526,18.0120073200917,0.023237771986181,0
538,18.4229276391813,-0.0867683178911019,0
550,18.8338479582708,-0.0918058273246308,0
562,19.2447682773604,-0.068023364394567,0.0451367361921891
574,19.6556885964499,-0.0662580160752311,0
586,20.0666089155394,-0.0646504320502749,0
598,20.477529234629,-0.044585143583766,0
