tus,t_to_tF,M,Merr
0,0,-1.03052006881918,0
6,0.211869008558096,-0.709909329147806,0
14,0.49436101996889,0.200155013897798,0
22,0.776853031379684,0.907788245877612,0
30,1.05934504279048,0.713748479150536,0
38,1.34183705420127,0.0655957161981258,0
46,1.62432906561207,-0.464065159593175,0
54,1.90682107702286,-0.439698735964779,0
62,2.18931308843365,-0.0437432925520498,0
70,2.47180509984445,0.244932166239273,0
78,2.75429711125524,0.246295677361854,0
86,3.03678912266604,0.0702625544773966,0
94,3.31928113407683,-0.138917576129735,0
102,3.60177314548763,-0.165120091440947,0
110,3.88426515689842,-0.0706145090411354,0
118,4.16675716830921,0.0883598190465143,0
126,4.44924917972001,0.0980494307647519,0
134,4.7317411911308,0.0375963067611592,0
142,5.0142332025416,-0.0611953612845674,0
150,5.29672521395239,-0.043304179918219,0
158,5.57921722536319,-0.0621601156467268,0
166,5.86170923677398,0.0466512965018643,0
174,6.14420124818477,-0.0162589144906703,0
182,6.42669325959557,-0.0260454878943507,0
190,6.70918527100636,0.029616402930854,0
198,6.99167728241716,0.00599743798765576,0
206,7.27416929382795,0.0287122184661019,0.0134405062919447
214,7.55666130523874,0.0253272032410351,0.0271052291913973
222,7.83915331664954,0.0391978665395331,0
230,8.12164532806033,0.0498538716908322,0
238,8.40413733947113,0.0586769277116683,0
246,8.68662935088192,-0.00584205687850301,0
