tus,t_to_tF,M,Merr
0,0,-1.01577840891674,0.0408417738612495
14,0.556815881922255,-0.868424938755762,0.0182918006344373
30,1.1931768898334,-0.759793791895138,0.00914353284382133
46,1.82953789774455,-0.716653001428238,0.0250870985041104
62,2.4658989056557,-0.425771379034587,0.039698772303411
78,3.10225991356685,-0.239370602488323,0.0267227043987381
94,3.738620921478,-0.137764622004711,0.0136682900234535
110,4.37498192938915,0.0490793451705185,0.038704438110063
126,5.01134293730029,0.150305689724562,0.0137454196172803
142,5.64770394521144,0.236599614889395,0.0253710830750743
158,6.28406495312259,0.279998879576131,0.0382623639212343
174,6.92042596103374,0.284100263118284,0.0674109661615055
190,7.55678696894489,0.269266966595415,0.0525008536787929
206,8.19314797685604,0.219610535486819,0.0417543205234846
222,8.82950898476719,0.165284199236055,0.0337764145299443
238,9.46586999267833,0.0974557875504285,0.0301135689963018
254,10.1022310005895,0.0715766556522067,0.0488009220737608
270,10.7385920085006,-0.0241616065876896,0.0466933912439205
286,11.3749530164118,-0.00385282960312305,0.0566496840985857
302,12.0113140243229,0.012772850507277,0.114336292663611
318,12.6476750322341,-0.107435606467384,0.0215443777766585
334,13.2840360401452,-0.0739874844192364,0.0123360439756074
350,13.9203970480564,-0.0673769826761117,0.0168712853691611
366,14.5567580559675,-0.0663726107839315,0.0189303133762942
382,15.1931190638787,-0.0251737709337006,0.0201039715044681
398,15.8294800717898,-0.0162269911046322,0.0166469524311894
414,16.465841079701,0.00451927801423003,0.00788951857372769
430,17.1022020876121,0.0446874540854385,0.011638840167552
446,17.7385630955233,0.0182414820737706,0.00742099753116047
462,18.3749241034344,0.0622983589484496,0.0462498194032317
