tus,t_to_tF,M,Merr
0,0,-1.00594143560814,0.0228674472108048
10,0.376991118430775,-0.81975525435392,0.0520189382080936
22,0.829380460547705,-0.508424775000072,0.0207866948161828
34,1.28176980266464,-0.477310016782119,0.0180346386434565
46,1.73415914478157,-0.427479986647546,0.035910637470968
58,2.1865484868985,-0.0448978475021213,0.0265794638468857
70,2.63893782901543,0.200841941665602,0.0527702807410007
82,3.09132717113236,0.221508142657611,0.0396893506592656
94,3.54371651324929,0.27292357001696,0.0290120514244293
106,3.99610585536622,0.420340002538072,0.0476377923100169
118,4.44849519748315,0.410584047957283,0.034001335579663
130,4.90088453960008,0.266122002581814,0.0481663097664828
142,5.35327388171701,0.21520596592882,0.0273038918918779
154,5.80566322383394,0.137470452895079,0.0325051530833491
166,6.25805256595087,0.00380336743869957,0.0239460984995966
178,6.7104419080678,-0.00568564434787129,0.0417863755490646
190,7.16283125018473,-0.0127641822065472,0.0361098906475215
202,7.61522059230166,-0.0874347983858996,0.0534646171822961
214,8.06760993441859,-0.128729763307215,0.00569449531240102
226,8.51999927653552,-0.0822549834708326,0.000280736591203899
238,8.97238861865245,-0.0856107226226475,0.0197530342724351
250,9.42477796076938,-0.0985689958342869,0.0141520079924865
262,9.87716730288631,-0.0153470787437609,0.0220930511667579
274,10.3295566450032,0.0163985855732489,0.00944366639452154
286,10.7819459871202,0.0306660417571155,0.0119329855346625
298,11.2343353292371,0.0130988290470221,0.00417765902847634
310,11.686724671354,0.0441741327168467,0.013684439546731
322,12.139114013471,0.0438405761290943,0.0291282614203656
334,12.5915033555879,0.0687887778841997,0.0117599883132044
346,13.0438926977048,-0.00458394357525876,0.0699226125009505
358,13.4962820398218,0.0231591335227014,0.0392971796902588
370,13.9486713819387,0.00534797024653823,0.0136621930807356
